program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,3.146153846153846,2.9076923076923076,2.6653846153846152,2.5551282051282054,2.230769230769231,2.5846153846153848,3.0615384615384613,1.9807692307692308
bv,19,5.0,8.11111111111111,6.125,1.4166666666666667,3.2222222222222223,6.236111111111111,8.722222222222221,2.9166666666666665
gcm,13,1.5205479452054795,1.2390737116764508,1.3987279843444227,0.9722765818656249,1.1771037181996087,0.998206131767777,1.2105041675555528,0.8121063378808165
ising,26,1.42,1.163333333333333,1.395,1.1033333333333328,1.28,1.2833333333333332,1.0971677208846975,0.7091600264069154
knn,25,1.880952380952381,2.5357142857142856,1.8214285714285714,1.5634920634920644,1.5892857142857142,1.2172619047619047,1.9761904761904763,1.0178571428571428
multiplier,15,2.7927927927927927,2.454954954954955,2.2263513513513513,2.025150150150152,2.0382882882882885,1.8873873873873874,2.454954954954955,1.5472972972972974
qec9xz,17,3.5,3.21875,3.2578125,3.6406250000000018,3.03125,2.765625,4.9375,1.984375
qft,18,1.8398692810457515,2.0702614379084965,1.7622549019607843,1.271241830065362,1.2941176470588236,1.2483660130718957,1.6209481183220358,1.1069195691276998
qpeexact,16,2.776923076923077,2.514743589743589,2.001923076923077,1.8608974358974424,1.9730769230769232,1.9772435897435912,2.216038630558894,1.2236471322866587
qram,20,2.9615384615384617,2.8615384615384616,2.4923076923076923,2.353846153846155,2.3692307692307693,2.3576923076923078,3.146153846153846,1.623076923076923
sat,11,2.1587301587301586,1.9722222222222223,1.8898809523809523,1.6832010582010597,1.5416666666666667,1.7688492063492063,1.9603174603174602,1.2202380952380953
swap_test,25,2.857142857142857,2.3214285714285716,1.5803571428571428,2.5525793650793633,2.0,2.0238095238095237,2.5595238095238093,1.0267857142857142
wstate,27,2.8461538461538463,2.326923076923077,2.8846153846153846,1.7916666666666665,1.9615384615384615,1.9086538461538463,1.9807692307692308,1.9519230769230769
