program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.6477272727272727,1.5909090909090908,1.7556818181818181,1.5909090909090908,1.1704545454545454,1.3589015151515156,1.3522727272727273,1.4375
bv,19,2.388888888888889,2.388888888888889,1.875,2.3333333333333335,1.25,1.814814814814815,1.75,1.875
gcm,13,1.3196078431372549,1.0637254901960798,1.2029411764705882,1.0466647381344574,0.7314368112419728,0.8970588235294132,1.0284313725490195,0.9009803921568639
ising,26,1.0,0.4583333333333333,0.75,0.4231851155116666,0.4231851155116666,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.4193548387096775,1.2903225806451613,1.3548387096774193,1.3951612903225807,0.8669354838709677,1.0631720430107525,1.096774193548387,1.1088709677419355
multiplier,15,2.1278195488721803,2.082706766917293,1.9511278195488722,2.082706766917293,1.2781954887218046,1.6259398496240596,1.6240601503759398,1.7387218045112782
qec9xz,17,3.0833333333333335,3.1666666666666665,2.6875,3.0,1.7916666666666667,2.2222222222222223,2.2916666666666665,2.375
qft,18,2.3484848484848486,1.4191919191919193,1.7613636363636365,1.4090912558815696,0.7121213855165424,1.1199494949494948,1.7348484848484849,1.1603535353535355
qpeexact,16,2.546511627906977,2.1182170542635657,2.0232558139534884,1.6961911223655524,0.801927788313045,1.5901162790697687,1.7790697674418605,1.7393410852713174
qram,20,1.8846153846153846,1.9935897435897436,1.9903846153846154,1.6666666666666667,1.2788461538461537,1.385683760683761,1.4935897435897436,1.4967948717948718
sat,11,1.7058823529411764,1.4485294117647058,1.5955882352941178,1.4485294117647058,0.9828431372549019,1.2136437908496733,1.2892156862745099,1.2156862745098038
swap_test,25,1.3870967741935485,1.3064516129032258,1.3548387096774193,1.2903225806451613,0.8669354838709677,1.0631720430107525,1.096774193548387,1.1088709677419355
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
