program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy
bigadder_n18,18,2.6818181818181817,3.1333333333333333,1.8164556962025316,3.0000000000000018,1.8199999999999998
bv_n19,19,2.7777777777777777,2.611111111111111,1.75,3.055555555555554,1.4999999999999998
cat_state_n22,22,1.0,1.0,1.0,1.0,1.0
dnn_n16,16,1.9375,3.5,1.9375,4.43340684276577,3.3667978032260257
gcm_n13,13,1.6392156862745098,2.009471585244266,1.3461538461538463,2.0439265108128706,1.4153839075596306
ghz_state_n23,23,1.0,1.0,1.0,1.0,1.0
ising_n26,26,1.0,1.0,1.0,1.0,1.0
knn_n25,25,3.1129032258064515,3.3181818181818183,2.28,3.90909090909091,2.397727272727272
multiplier_n15,15,2.1052631578947367,2.385593220338983,1.5655737704918034,2.4194915254237297,1.5783898305084751
qec9xz_n17,17,4.5,3.75,2.0416666666666665,4.583333333333332,2.208333333333334
qf21_n15,15,2.232142857142857,4.555555555555556,2.0546875,7.732667317659442,4.248291143994596
qft_n18,18,3.0303030303030303,6.7384615384615385,2.9242424242424243,10.26375000000001,5.476250000000004
qpeexact_16,16,3.872093023255814,8.963917525773189,3.896551724137931,12.247990754845826,6.200123395634287
qram_n20,20,2.730769230769231,3.1515151515151514,1.8642857142857143,3.1969696969696972,1.9999999999999996
sat_n11,11,2.230392156862745,2.517543859649123,1.6263736263736264,2.500000000000014,1.6798245614035123
swap_test_n25,25,3.193548387096774,4.136363636363637,2.46,3.636363636363636,2.5624999999999982
wstate_n27,27,1.0,1.0,1.0,1.0,1.0
